Programområdekode,Utdanningsprogram,Programområde,2022,2023,2024
TPBKO3,Teknologi- og industrifag,"TPBKO3 - Brønnfaget, komplettering",19.0,19.0,17.0
TPBKV3,Teknologi- og industrifag,"TPBKV3 - Brønnfaget, kveilerøroperasjoner",6.0,7.0,6.0
TPBLA3,Teknologi- og industrifag,TPBLA3 - Billakkererfaget,185.0,204.0,212.0
TPBMF3,Teknologi- og industrifag,TPBMF3 - Børsemakerfaget,2.0,6.0,7.0
TPBMK3,Teknologi- og industrifag,"TPBMK3 - Bilfaget, lette kjøretøy",1546.0,1548.0,1568.0
TPBOR3,Teknologi- og industrifag,TPBOR3 - Boreoperatørfaget,118.0,108.0,138.0
TPBRE3,Teknologi- og industrifag,"TPBRE3 - Brønnfaget, elektriske kabeloperasjoner",16.0,16.0,16.0
TPBRH3,Teknologi- og industrifag,"TPBRH3 - Brønnfaget, havbunnsinstallasjoner",16.0,16.0,18.0
TPBRM3,Teknologi- og industrifag,"TPBRM3 - Brønnfaget, mekaniske kabeloperasjoner",37.0,30.0,33.0
TPBRS3,Teknologi- og industrifag,"TPBRS3 - Brønnfaget, sementering",15.0,18.0,16.0
TPBSK3,Teknologi- og industrifag,TPBSK3 - Bilskadefaget,231.0,250.0,241.0
TPBTK3,Teknologi- og industrifag,"TPBTK3 - Bilfaget, tunge kjøretøy",376.0,381.0,396.0
TPCNC3,Teknologi- og industrifag,TPCNC3 - CNC-maskineringsfaget,340.0,342.0,363.0
TPDKO3,Teknologi- og industrifag,TPDKO3 - Dimensjonskontrollfaget,7.0,7.0,17.0
TPFMK3,Teknologi- og industrifag,TPFMK3 - Finmekanikerfaget,5.0,5.0,6.0
TPGJE3,Teknologi- og industrifag,TPGJE3 - Gjenvinningsfaget,62.0,32.0,7.0
TPGPT3,Teknologi- og industrifag,TPGPT3 - Grafisk produksjonsteknikk,19.0,16.0,19.0
TPGRV3,Teknologi- og industrifag,TPGRV3 - Garverifaget,2.0,,
TPGVF3,Teknologi- og industrifag,TPGVF3 - Gjenvinningsfaget,11.0,38.0,62.0
